model_id,display_name,model_family,development_stage,architecture_summary,prediction_type,uses_physics_guidance,uses_kan,uses_safety_guard,uses_uncertainty,uses_abstention,uses_maintenance_policy,parameter_count,checkpoint_size_bytes,training_status,selection_status,benchmark_evaluated,benchmark_access_protocol,source_config,source_metrics,source_checkpoint,notes
classical_random_forest,Random Forest RUL Baseline,Classical baseline,Phase 4 provenance,Random forest final-row tabular RUL predictor with conformal uncertainty from earlier multidomain baseline.,point RUL,False,False,False,True,False,True,,,completed,baseline,True,benchmark metrics imported from classical manifest,configs/multidomain_rul_uncertainty.yaml,reports/deep_rul/classical_benchmark_manifest.json,,
sequence_mlp,Sequence MLP RUL Baseline,Deep-learning baseline,Phase 5 provenance,sequence_mlp temporal sequence baseline.,point RUL,False,False,False,False,False,False,23425.0,97009.0,completed,not selected,False,validation screening; LSTM benchmark table when selected,configs/multidomain_deep_rul.yaml,reports/deep_rul/deep_model_registry.json,artifacts/deep_rul/checkpoints/screening_sequence_mlp.pt,
cnn1d,Temporal CNN RUL Baseline,Deep-learning baseline,Phase 5 provenance,cnn1d temporal sequence baseline.,point RUL,False,False,False,False,False,False,21249.0,88369.0,completed,not selected,False,validation screening; LSTM benchmark table when selected,configs/multidomain_deep_rul.yaml,reports/deep_rul/deep_model_registry.json,artifacts/deep_rul/checkpoints/screening_cnn1d.pt,
lstm,LSTM RUL Baseline,Deep-learning baseline,Phase 5 provenance,lstm temporal sequence baseline.,point RUL,False,False,False,False,False,False,40481.0,165105.0,completed,not selected,True,validation screening; LSTM benchmark table when selected,configs/multidomain_deep_rul.yaml,reports/deep_rul/deep_model_registry.json,artifacts/deep_rul/checkpoints/screening_lstm.pt,
gru,GRU RUL Baseline,Deep-learning baseline,Phase 5 provenance,gru temporal sequence baseline.,point RUL,False,False,False,False,False,False,32001.0,131185.0,completed,not selected,False,validation screening; LSTM benchmark table when selected,configs/multidomain_deep_rul.yaml,reports/deep_rul/deep_model_registry.json,artifacts/deep_rul/checkpoints/screening_gru.pt,
tcn,Temporal Convolutional RUL Baseline,Deep-learning baseline,Phase 5 provenance,tcn temporal sequence baseline.,point RUL,False,False,False,False,False,False,79937.0,327549.0,completed,not selected,False,validation screening; LSTM benchmark table when selected,configs/multidomain_deep_rul.yaml,reports/deep_rul/deep_model_registry.json,artifacts/deep_rul/checkpoints/screening_tcn.pt,
cnn_lstm,CNN-LSTM RUL Baseline,Deep-learning baseline,Phase 5 provenance,cnn_lstm temporal sequence baseline.,point RUL,False,False,False,False,False,False,52633.0,214373.0,completed,not selected,False,validation screening; LSTM benchmark table when selected,configs/multidomain_deep_rul.yaml,reports/deep_rul/deep_model_registry.json,artifacts/deep_rul/checkpoints/screening_cnn_lstm.pt,
lstm_phase5_schedule_a,LSTM Candidate - Schedule A,Deep-learning candidate,Phase 5B provenance,"{""architecture"": ""lstm"", ""dropout"": 0.1, ""hidden_dim"": 80, ""layers"": 1, ""model_id"": ""lstm_phase5_schedule_a"", ""schedule_id"": ""schedule_a"", ""window_length"": 50}",point RUL,False,False,False,False,False,False,40481,165105,completed,not selected,False,locked benchmark for selected Patch Transformer; validation only for other candidates,configs/multidomain_temporal_optimization.yaml,reports/deep_rul_extended/extended_model_registry.json,artifacts/deep_rul_extended/checkpoints/stage_a_lstm_phase5_schedule_a.pt,
lstm_phase5_schedule_b,LSTM Candidate - Schedule B,Deep-learning candidate,Phase 5B provenance,"{""architecture"": ""lstm"", ""dropout"": 0.1, ""hidden_dim"": 80, ""layers"": 1, ""model_id"": ""lstm_phase5_schedule_b"", ""schedule_id"": ""schedule_b"", ""window_length"": 50}",point RUL,False,False,False,False,False,False,40481,165105,completed,not selected,False,locked benchmark for selected Patch Transformer; validation only for other candidates,configs/multidomain_temporal_optimization.yaml,reports/deep_rul_extended/extended_model_registry.json,artifacts/deep_rul_extended/checkpoints/stage_a_lstm_phase5_schedule_b.pt,
tcn_extended_schedule_a,Temporal CNN Candidate - Schedule A,Deep-learning candidate,Phase 5B provenance,"{""architecture"": ""tcn"", ""dilations"": [1, 2, 4, 8], ""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""model_id"": ""tcn_extended_schedule_a"", ""schedule_id"": ""schedule_a"", ""window_length"": 50}",point RUL,False,False,False,False,False,False,104641,428393,completed,not selected,False,locked benchmark for selected Patch Transformer; validation only for other candidates,configs/multidomain_temporal_optimization.yaml,reports/deep_rul_extended/extended_model_registry.json,artifacts/deep_rul_extended/checkpoints/stage_a_tcn_extended_schedule_a.pt,
