File,Line or location,Detected reference,Category,Action taken,Attribution impact
.gitignore,45,notebooks/original-aircraft-pm/,original_aircraft_pm,Reviewed; keep only when legitimate AeroGuard terminology or citation.,See THIRD_PARTY_NOTICES.md
CITATION.cff,10,"abstract: ""A production-style turbofan predictive-maintenance system combining a regime-consistent physics-guided Patch Transformer, calibrated uncertainty, deterministic safety guarding, maintenance decision support, FastAPI inference and ",predictive_maintenance_generic,Reviewed; keep only when legitimate AeroGuard terminology or citation.,None
README.md,3,"> A production-style turbofan predictive-maintenance system combining physics-guided temporal modelling, calibrated uncertainty and an interpretable safety guard for reliable remaining-useful-life decisions.",predictive_maintenance_generic,Reviewed; keep only when legitimate AeroGuard terminology or citation.,None
README.md,776,"Appropriate uses include research, education, predictive-maintenance experimentation, model-governance demonstrations and deployment prototyping.",predictive_maintenance_generic,Reviewed; keep only when legitimate AeroGuard terminology or citation.,None
THIRD_PARTY_NOTICES.md,20,"- Detected paths before cleanup: `references/production-pdm-system/`, `extracted-code/production-pdm-system/`, and `data/reference-derived/production-pdm-system/`.",production_pdm_system,Reviewed; keep only when legitimate AeroGuard terminology or citation.,See THIRD_PARTY_NOTICES.md
THIRD_PARTY_NOTICES.md,21,"- License observed: MIT License, copyright `(c) 2026 Predictive Maintenance Manufacturing System`.",production_pdm_system,Reviewed; keep only when legitimate AeroGuard terminology or citation.,See THIRD_PARTY_NOTICES.md
THIRD_PARTY_NOTICES.md,26,## Original Aircraft Predictive-Maintenance Notebook Repository,predictive_maintenance_generic,Reviewed; keep only when legitimate AeroGuard terminology or citation.,None
THIRD_PARTY_NOTICES.md,28,"- Detected paths before cleanup: `references/original-aircraft-pm/`, `extracted-code/original-aircraft-pm/`, and `notebooks/original-aircraft-pm/`.",original_aircraft_pm,Reviewed; keep only when legitimate AeroGuard terminology or citation.,See THIRD_PARTY_NOTICES.md
scripts/release_readiness_audit.py,71,"""production_pdm_system"": re.compile(r""production-pdm-system|Predictive Maintenance Manufacturing System"", re.I),",production_pdm_system,Reviewed; keep only when legitimate AeroGuard terminology or citation.,See THIRD_PARTY_NOTICES.md
scripts/release_readiness_audit.py,72,"""original_aircraft_pm"": re.compile(r""original-aircraft-pm|Predictive Maintenance \(PdM\) of Aircraft Engine"", re.I),",original_aircraft_pm,Reviewed; keep only when legitimate AeroGuard terminology or citation.,See THIRD_PARTY_NOTICES.md
scripts/release_readiness_audit.py,75,"""old_dataset_copy"": re.compile(r""WA_Fn-UseC|Telco|ford\.csv"", re.I),",old_dataset_copy,Reviewed; keep only when legitimate AeroGuard terminology or citation.,None
scripts/release_readiness_audit.py,132,"if rel_path.startswith((""references/"", ""extracted-code/"", ""notebooks/original-aircraft-pm/"", ""data/reference-derived/"")):",original_aircraft_pm,Reviewed; keep only when legitimate AeroGuard terminology or citation.,See THIRD_PARTY_NOTICES.md
scripts/release_readiness_audit.py,221,"elif record.rel.startswith((""references/"", ""extracted-code/"", ""notebooks/original-aircraft-pm/"", ""data/reference-derived/"")):",original_aircraft_pm,Reviewed; keep only when legitimate AeroGuard terminology or citation.,See THIRD_PARTY_NOTICES.md
src/aeroguard/__init__.py,1,"""""""AeroGuard-PHM predictive-maintenance package.""""""",predictive_maintenance_generic,Reviewed; keep only when legitimate AeroGuard terminology or citation.,None
